iter	Passed	Remaining
0	0	28
1	0	27
2	0	26
3	1	24
4	1	23
5	1	23
6	1	23
7	2	23
8	2	23
9	2	22
10	2	22
11	3	22
12	3	22
13	3	22
14	3	22
15	4	22
16	4	21
17	4	21
18	4	21
19	5	21
20	5	21
21	5	20
22	6	20
23	6	20
24	6	20
25	7	20
26	7	20
27	7	19
28	8	19
29	8	19
30	8	19
31	8	18
32	9	18
33	9	18
34	9	18
35	10	17
36	10	17
37	10	17
38	10	17
39	11	16
40	11	16
41	11	15
42	11	15
43	12	15
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	13	13
50	14	13
51	14	13
52	14	13
53	14	12
54	15	12
55	15	12
56	15	11
57	16	11
58	16	11
59	16	11
60	17	11
61	17	10
62	18	10
63	18	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	20	8
71	21	8
72	21	7
73	21	7
74	22	7
75	22	7
76	22	6
77	22	6
78	23	6
79	23	5
80	23	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	28	1
94	28	1
95	28	1
96	28	0
97	29	0
98	29	0
99	30	0
