iter	Passed	Remaining
0	57	57855
1	58	29049
2	58	19447
3	58	14639
4	59	11756
5	59	9833
6	59	8460
7	59	7432
8	60	6630
9	60	5988
10	60	5468
11	61	5028
12	61	4659
13	61	4344
14	61	4069
15	62	3828
16	62	3614
17	62	3426
18	63	3256
19	63	3103
20	63	2967
21	63	2841
22	64	2726
23	64	2621
24	64	2524
25	65	2436
26	65	2355
27	65	2277
28	65	2205
29	66	2138
30	66	2075
31	66	2016
32	66	1960
33	67	1908
34	67	1859
35	67	1812
36	67	1768
37	68	1728
38	68	1688
39	68	1650
40	69	1615
41	69	1580
42	69	1547
43	69	1517
44	70	1487
45	70	1459
46	70	1431
47	70	1405
48	71	1379
49	71	1355
50	71	1332
51	71	1309
52	72	1288
53	72	1268
54	72	1248
55	72	1228
56	73	1210
57	73	1192
58	73	1174
59	73	1158
60	74	1141
61	74	1126
62	74	1111
63	75	1096
64	75	1082
65	75	1068
66	75	1054
67	76	1041
68	76	1028
69	76	1016
70	76	1004
71	76	992
72	77	981
73	77	970
74	77	959
75	78	948
76	78	938
77	78	928
78	78	918
79	79	908
80	79	899
81	79	890
82	79	879
83	79	870
84	80	861
85	80	853
86	80	845
87	80	837
88	81	829
89	81	821
90	81	814
91	81	806
92	81	799
93	82	792
94	82	785
95	82	778
96	82	771
97	83	765
98	83	759
99	83	753
100	83	747
101	84	741
102	84	735
103	84	729
104	84	723
105	85	718
106	85	712
107	85	707
108	86	704
109	86	699
110	86	694
111	86	689
112	87	684
113	87	679
114	87	674
115	87	669
116	88	664
117	88	660
118	88	656
119	88	651
120	89	647
121	89	642
122	89	638
123	89	633
124	89	629
125	90	625
126	90	621
127	90	617
128	90	613
129	91	609
130	91	605
131	91	601
132	91	597
133	91	594
134	92	590
135	92	587
136	92	583
137	92	580
138	93	577
139	93	573
140	93	570
141	93	566
142	94	563
143	94	560
144	94	557
145	94	554
146	94	551
147	95	548
148	95	545
149	95	542
150	95	539
151	96	537
152	96	534
153	96	531
154	96	528
155	97	525
156	97	522
157	97	520
158	97	517
159	98	514
160	98	511
161	98	509
162	98	506
163	98	504
164	99	502
165	99	500
166	99	498
167	100	496
168	100	494
169	100	491
170	101	490
171	101	487
172	101	485
173	101	483
174	102	481
175	102	479
176	102	477
177	102	475
178	103	472
179	103	471
180	103	468
181	103	466
182	104	464
183	104	462
184	104	460
185	104	458
186	105	456
187	105	454
188	105	452
189	105	450
190	106	449
191	106	447
192	106	445
193	106	443
194	106	441
195	107	439
196	107	437
197	108	438
198	108	436
199	108	434
200	108	433
201	109	431
202	109	430
203	109	428
204	110	427
205	110	425
206	110	423
207	110	422
208	111	420
209	111	418
